sample_id,freq_timer_ns,std_time_ns,freq_cycles,time_diff_ns
0,645,2848,3530,-2203
1,740,1190,2429,-450
2,462,696,1444,-234
3,191,398,764,-207
4,553,764,1682,-211
5,584,794,1765,-210
6,193,401,780,-208
7,213,420,825,-207
8,578,786,1733,-208
9,510,721,1570,-211
10,201,407,790,-206
11,194,405,784,-211
12,197,403,782,-206
13,186,393,753,-207
14,197,406,788,-209
15,198,408,790,-210
16,200,415,810,-215
17,191,398,768,-207
18,201,410,798,-209
19,190,401,769,-211
20,197,405,788,-208
21,196,402,784,-206
22,202,410,800,-208
23,189,395,765,-206
24,204,414,809,-210
25,188,400,768,-212
26,195,401,780,-206
27,194,401,772,-207
28,198,403,784,-205
29,196,407,790,-211
30,187,399,770,-212
31,195,403,778,-208
32,196,403,788,-207
33,196,402,782,-206
34,197,407,787,-210
35,193,402,776,-209
36,196,403,778,-207
37,192,402,780,-210
38,197,403,778,-206
39,198,405,780,-207
40,202,415,802,-213
41,196,404,780,-208
42,194,405,787,-211
43,193,401,772,-208
44,199,404,788,-205
45,189,396,762,-207
46,201,410,790,-209
47,194,404,776,-210
48,208,419,815,-211
49,193,402,784,-209
50,202,409,788,-207
51,188,398,766,-210
52,198,406,786,-208
53,198,409,790,-211
54,200,408,795,-208
55,194,406,780,-212
56,197,406,786,-209
57,186,395,762,-209
58,198,405,788,-207
59,185,397,766,-212
60,198,408,788,-210
61,198,407,790,-209
62,196,404,792,-208
63,187,395,755,-208
64,201,410,798,-209
65,192,404,780,-212
66,197,404,784,-207
67,192,397,770,-205
68,199,410,786,-211
69,195,398,774,-203
70,195,403,776,-208
71,193,400,772,-207
72,195,405,780,-210
73,192,399,774,-207
74,198,405,778,-207
75,193,403,776,-210
76,200,404,790,-204
77,188,392,756,-204
78,199,405,784,-206
79,196,407,790,-211
80,196,404,776,-208
81,185,395,762,-210
82,198,405,784,-207
83,199,406,784,-207
84,198,406,788,-208
85,199,410,792,-211
86,198,407,791,-209
87,188,397,772,-209
88,198,407,793,-209
89,197,406,792,-209
90,199,408,784,-209
91,195,403,776,-208
92,200,408,788,-208
93,189,396,762,-207
94,200,409,788,-209
95,185,395,758,-210
96,196,408,792,-212
97,188,395,765,-207
98,201,410,798,-209
99,195,399,776,-204
100,195,405,780,-210
101,702,1292,2361,-590
102,520,726,1582,-206
103,562,768,1690,-206
104,525,734,1617,-209
105,191,397,766,-206
106,205,412,802,-207
107,194,401,786,-207
108,546,752,1654,-206
109,195,405,778,-210
110,208,413,808,-205
111,193,403,771,-210
112,198,407,788,-209
113,196,402,784,-206
114,588,794,1759,-206
115,535,741,1633,-206
116,200,406,796,-206
117,194,402,784,-208
118,202,412,801,-210
119,186,396,762,-210
120,199,409,795,-210
121,187,396,762,-209
122,200,407,793,-207
123,199,409,794,-210
124,200,407,790,-207
125,195,404,784,-209
126,198,407,786,-209
127,194,405,780,-211
128,195,402,790,-207
129,191,400,770,-209
130,198,403,788,-205
131,190,398,764,-208
132,203,407,788,-204
133,194,402,778,-208
134,198,405,784,-207
135,197,404,776,-207
136,202,404,788,-202
137,189,394,755,-205
138,198,402,784,-204
139,192,400,768,-208
140,196,402,788,-206
141,193,402,772,-209
142,197,403,784,-206
143,190,395,765,-205
144,197,405,784,-208
145,184,392,750,-208
146,197,405,784,-208
147,190,399,769,-209
148,193,400,772,-207
149,193,402,778,-209
150,196,405,780,-209
151,191,400,764,-209
152,198,408,790,-210
153,193,403,776,-210
154,198,405,788,-207
155,188,396,763,-208
156,193,403,778,-210
157,184,394,759,-210
158,198,406,790,-208
159,194,404,778,-210
160,193,401,772,-208
161,186,393,758,-207
162,200,408,795,-208
163,185,392,754,-207
164,202,411,804,-209
165,193,401,780,-208
166,200,407,792,-207
167,193,401,778,-208
168,200,408,790,-208
169,187,396,762,-209
170,199,408,790,-209
171,198,406,788,-208
172,197,406,784,-209
173,186,392,761,-206
174,202,410,798,-208
175,192,401,770,-209
176,196,405,786,-209
177,197,405,780,-208
178,196,403,784,-207
179,193,402,776,-209
180,198,405,786,-207
181,194,400,770,-206
182,200,405,786,-205
183,189,396,761,-207
184,197,405,782,-208
185,199,406,790,-207
186,202,408,786,-206
187,189,394,758,-205
188,200,405,784,-205
189,195,401,773,-206
190,199,405,788,-206
191,194,403,774,-209
192,198,405,784,-207
193,193,401,770,-208
194,195,404,778,-209
195,196,406,784,-210
196,206,414,805,-208
197,584,964,1845,-380
198,197,404,784,-207
199,464,673,1455,-209
200,575,781,1716,-206
201,586,955,1928,-369
202,224,436,860,-212
203,196,401,768,-205
204,575,782,1722,-207
205,548,756,1666,-208
206,201,410,794,-209
207,192,400,770,-208
208,563,771,1698,-208
209,212,421,822,-209
210,540,745,1639,-205
211,205,413,805,-208
212,194,404,780,-210
213,483,686,1488,-203
214,194,402,780,-208
215,543,755,1649,-212
216,194,403,780,-209
217,482,691,1503,-209
218,195,404,784,-209
219,200,406,786,-206
220,471,681,1473,-210
221,538,746,1637,-208
222,544,750,1655,-206
223,201,408,796,-207
224,544,754,1653,-210
225,198,408,790,-210
226,196,407,790,-211
227,195,405,778,-210
228,483,693,1503,-210
229,196,405,780,-209
230,560,767,1688,-207
231,197,404,782,-207
232,506,713,1560,-207
233,196,405,782,-209
234,509,715,1564,-206
235,191,398,772,-207
236,507,715,1556,-208
237,194,401,780,-207
238,195,406,782,-211
239,499,703,1538,-204
240,191,399,766,-208
241,511,717,1566,-206
242,198,405,788,-207
243,547,754,1660,-207
244,199,407,788,-208
245,504,710,1550,-206
246,189,399,770,-210
247,507,711,1552,-204
248,192,396,762,-204
249,539,747,1637,-208
250,194,404,788,-210
251,547,755,1661,-208
252,189,397,764,-208
253,506,711,1556,-205
254,193,403,776,-210
255,199,406,791,-207
256,492,699,1521,-207
257,200,410,792,-210
258,545,752,1653,-207
259,193,401,774,-208
260,507,717,1560,-210
261,196,406,790,-210
262,547,757,1662,-210
263,193,404,780,-211
264,508,714,1560,-206
265,195,405,782,-210
266,512,717,1574,-205
267,195,402,780,-207
268,548,751,1657,-203
269,196,404,780,-208
270,547,755,1656,-208
271,198,404,784,-206
272,550,760,1670,-210
273,190,397,763,-207
274,505,714,1560,-209
275,543,752,1649,-209
276,193,404,784,-211
277,571,779,1714,-208
278,195,402,780,-207
279,502,711,1552,-209
280,203,408,794,-205
281,505,714,1560,-209
282,190,396,770,-206
283,505,713,1552,-208
284,197,404,778,-207
285,507,715,1564,-208
286,200,407,797,-207
287,195,401,780,-206
288,504,714,1556,-210
289,467,674,1461,-207
290,540,750,1641,-210
291,193,404,780,-211
292,474,682,1477,-208
293,540,749,1643,-209
294,544,756,1661,-212
295,198,405,786,-207
296,510,721,1574,-211
297,197,406,778,-209
298,564,774,1705,-210
299,507,716,1560,-209
300,200,407,788,-207
301,492,804,1590,-312
302,198,391,761,-193
303,173,369,711,-196
304,501,696,1530,-195
305,177,369,711,-192
306,529,725,1593,-196
307,509,703,1544,-194
308,510,704,1550,-194
309,184,378,732,-194
310,182,379,729,-197
311,185,381,732,-196
312,183,378,733,-195
313,187,377,733,-190
314,442,638,1379,-196
315,180,376,731,-196
316,508,703,1538,-195
317,183,379,729,-196
318,187,382,738,-195
319,184,382,743,-198
320,505,701,1542,-196
321,182,376,729,-194
322,507,703,1544,-196
323,177,373,712,-196
324,183,378,728,-195
325,506,699,1535,-193
326,184,376,731,-192
327,173,369,705,-196
328,171,366,699,-195
329,507,701,1540,-194
330,185,379,727,-194
331,185,380,737,-195
332,182,379,728,-197
333,179,376,725,-197
334,442,638,1379,-196
335,177,372,719,-195
336,183,375,729,-192
337,180,376,729,-196
338,188,383,740,-195
339,179,376,729,-197
340,180,376,731,-196
341,182,375,731,-193
342,187,379,735,-192
343,433,629,1361,-196
344,183,380,735,-197
345,183,375,728,-192
346,186,382,734,-196
347,182,376,729,-194
348,183,376,729,-193
349,436,628,1367,-192
350,183,377,725,-194
351,180,371,717,-191
352,505,700,1537,-195
353,175,373,719,-198
354,185,380,738,-195
355,507,701,1538,-194
356,183,380,741,-197
357,179,374,721,-195
358,442,637,1379,-195
359,182,377,725,-195
360,186,377,731,-191
361,182,377,729,-195
362,508,701,1539,-193
363,183,379,728,-196
364,182,376,727,-194
365,187,377,729,-190
366,508,702,1536,-194
367,179,374,713,-195
368,506,704,1538,-198
369,188,384,740,-196
370,507,700,1537,-193
371,176,370,715,-194
372,183,379,735,-196
373,174,368,706,-194
374,183,377,735,-194
375,509,701,1540,-192
376,181,378,733,-197
377,176,372,715,-196
378,185,381,740,-196
379,179,375,719,-196
380,173,365,705,-192
381,440,635,1375,-195
382,186,381,733,-195
383,509,707,1546,-198
384,182,380,728,-198
385,183,380,732,-197
386,509,708,1550,-199
387,177,373,723,-196
388,534,842,1696,-308
389,179,382,743,-203
390,439,634,1367,-195
391,179,370,711,-191
392,187,383,745,-196
393,183,378,727,-195
394,181,378,726,-197
395,184,376,731,-192
396,169,367,706,-198
397,180,377,727,-197
398,183,375,719,-192
399,180,378,729,-198
400,186,378,737,-192
401,956,1367,2777,-411
402,611,832,1867,-221
403,586,805,1799,-219
404,175,370,709,-195
405,531,743,1641,-212
406,185,384,745,-199
407,193,385,756,-192
408,178,373,723,-195
409,194,388,750,-194
410,183,377,731,-194
411,508,705,1543,-197
412,191,383,749,-192
413,511,707,1550,-196
414,188,384,749,-196
415,512,707,1554,-195
416,186,377,731,-191
417,182,378,729,-196
418,448,645,1397,-197
419,186,378,744,-192
420,192,387,752,-195
421,190,383,747,-193
422,189,381,748,-192
423,184,377,733,-193
424,189,383,747,-194
425,188,383,742,-195
426,187,382,745,-195
427,186,378,736,-192
428,191,384,747,-193
429,179,375,725,-196
430,194,387,747,-193
431,189,383,742,-194
432,186,379,742,-193
433,187,379,735,-192
434,186,379,735,-193
435,184,375,727,-191
436,190,382,745,-192
437,183,376,731,-193
438,174,365,707,-191
439,190,381,744,-191
440,184,378,738,-194
441,188,381,744,-193
442,174,367,705,-193
443,189,382,747,-193
444,186,382,739,-196
445,184,378,729,-194
446,181,376,732,-195
447,184,380,735,-196
448,197,389,760,-192
449,184,380,741,-196
450,175,367,709,-192
451,187,383,742,-196
452,182,377,734,-195
453,185,378,732,-193
454,183,377,725,-194
455,185,380,733,-195
456,178,372,715,-194
457,182,377,730,-195
458,179,374,725,-195
459,186,378,741,-192
460,187,381,741,-194
461,184,379,731,-195
462,174,372,713,-198
463,188,382,743,-194
464,178,370,719,-192
465,188,382,738,-194
466,179,375,731,-196
467,182,377,733,-195
468,180,374,723,-194
469,188,382,736,-194
470,179,374,723,-195
471,185,381,735,-196
472,180,371,715,-191
473,187,380,741,-193
474,184,379,733,-195
475,185,377,731,-192
476,179,371,721,-192
477,186,380,743,-194
478,177,368,713,-191
479,184,377,731,-193
480,178,369,711,-191
481,187,381,746,-194
482,179,374,727,-195
483,185,379,733,-194
484,179,373,715,-194
485,188,383,736,-195
486,173,370,713,-197
487,185,382,742,-197
488,175,374,715,-199
489,186,380,737,-194
490,180,374,723,-194
491,178,373,718,-195
492,182,376,731,-194
493,181,377,733,-196
494,180,372,719,-192
495,180,374,731,-194
496,179,370,715,-191
497,184,379,735,-195
498,179,377,729,-198
499,184,379,742,-195
500,177,368,707,-191
501,1042,1589,3081,-547
502,209,458,872,-249
503,399,645,1340,-246
504,192,436,812,-244
505,198,442,831,-244
506,540,751,1651,-211
507,199,406,788,-207
508,196,404,788,-208
509,199,403,784,-204
510,195,402,778,-207
511,473,681,1479,-208
512,194,401,776,-207
513,473,683,1480,-210
514,196,404,786,-208
515,200,410,792,-210
516,545,753,1651,-208
517,192,397,766,-205
518,547,753,1653,-206
519,200,408,790,-208
520,191,397,766,-206
521,200,411,801,-211
522,196,402,784,-206
523,513,723,1582,-210
524,198,407,792,-209
525,191,398,768,-207
526,545,754,1655,-209
527,195,401,772,-206
528,193,401,769,-208
529,202,410,794,-208
530,474,686,1483,-212
531,201,411,804,-210
532,192,400,768,-208
533,544,754,1654,-210
534,196,405,784,-209
535,195,403,784,-208
536,194,403,776,-209
537,195,406,788,-211
538,194,402,780,-208
539,199,407,794,-208
540,188,393,764,-205
541,194,405,784,-211
542,194,399,772,-205
543,198,408,790,-210
544,194,402,776,-208
545,473,679,1477,-206
546,198,404,776,-206
547,475,680,1477,-205
548,192,400,772,-208
549,197,404,780,-207
550,197,407,786,-210
551,546,755,1658,-209
552,192,402,780,-210
553,195,404,780,-209
554,473,680,1473,-207
555,199,405,786,-206
556,195,404,780,-209
557,196,405,784,-209
558,476,684,1487,-208
559,195,403,784,-208
560,476,685,1478,-209
561,202,410,794,-208
562,186,393,756,-207
563,548,755,1662,-207
564,196,404,777,-208
565,468,678,1465,-210
566,192,400,764,-208
567,196,403,784,-207
568,192,399,776,-207
569,189,398,769,-209
570,198,404,784,-206
571,201,407,788,-206
572,193,404,780,-211
573,546,753,1655,-207
574,196,403,776,-207
575,513,722,1577,-209
576,197,405,782,-208
577,197,404,782,-207
578,474,682,1477,-208
579,195,402,780,-207
580,543,752,1651,-209
581,197,405,786,-208
582,559,892,1775,-333
583,199,404,789,-205
584,517,724,1584,-207
585,190,397,772,-207
586,193,400,776,-207
587,194,402,780,-208
588,204,411,798,-207
589,192,399,776,-207
590,209,415,809,-206
591,189,399,769,-210
592,195,404,784,-209
593,208,415,815,-207
594,199,407,786,-208
595,190,398,765,-208
596,197,402,780,-205
597,208,416,816,-208
598,197,405,778,-208
599,211,416,806,-205
600,193,402,776,-209
601,603,1061,1990,-458
602,483,741,1564,-258
603,344,589,1199,-245
604,473,699,1527,-226
605,260,491,995,-231
606,391,645,1324,-254
607,189,421,823,-232
608,471,678,1471,-207
609,503,710,1546,-207
610,197,405,784,-208
611,541,750,1639,-209
612,204,415,808,-211
613,198,405,778,-207
614,206,415,809,-209
615,196,409,788,-213
616,212,417,813,-205
617,539,748,1640,-209
618,195,401,780,-206
619,215,421,819,-206
620,191,398,766,-207
621,191,398,766,-207
622,205,413,798,-208
623,196,402,780,-206
624,209,416,815,-207
625,197,405,782,-208
626,194,403,778,-209
627,489,697,1517,-208
628,192,398,772,-206
629,541,751,1642,-210
630,207,417,812,-210
631,192,399,772,-207
632,204,413,809,-209
633,206,412,796,-206
634,212,420,821,-208
635,543,749,1644,-206
636,209,415,809,-206
637,541,751,1647,-210
638,211,423,820,-212
639,543,748,1639,-205
640,209,415,809,-206
641,542,752,1648,-210
642,191,400,772,-209
643,529,738,1619,-209
644,190,398,773,-208
645,482,687,1484,-205
646,189,398,764,-209
647,520,729,1595,-209
648,195,403,780,-208
649,208,416,808,-208
650,198,407,792,-209
651,474,685,1480,-211
652,199,405,788,-206
653,210,417,815,-207
654,197,401,780,-204
655,543,749,1639,-206
656,208,415,814,-207
657,201,408,794,-207
658,192,400,773,-208
659,209,415,816,-206
660,196,402,780,-206
661,585,795,1755,-210
662,192,401,774,-209
663,214,423,825,-209
664,542,748,1643,-206
665,203,410,804,-207
666,541,748,1645,-207
667,204,412,796,-208
668,207,413,806,-206
669,544,751,1642,-207
670,213,419,824,-206
671,539,751,1647,-212
672,213,423,826,-210
673,188,397,766,-209
674,206,415,813,-209
675,542,749,1645,-207
676,193,398,772,-205
677,542,752,1647,-210
678,216,422,830,-206
679,198,406,788,-208
680,582,791,1751,-209
681,202,411,794,-209
682,217,422,833,-205
683,541,751,1646,-210
684,195,398,766,-203
685,547,757,1660,-210
686,195,402,780,-207
687,528,735,1611,-207
688,201,409,798,-208
689,198,404,786,-206
690,208,416,816,-208
691,541,748,1643,-207
692,206,417,815,-211
693,196,401,782,-205
694,539,746,1642,-207
695,207,414,810,-207
696,541,748,1640,-207
697,204,412,808,-208
698,196,405,778,-209
699,193,400,776,-207
700,201,409,792,-208
701,504,900,1692,-396
702,254,550,1009,-296
703,260,481,946,-221
704,255,476,939,-221
705,245,475,910,-230
706,243,458,912,-215
707,265,475,936,-210
708,276,518,1007,-242
709,315,549,1101,-234
710,281,511,1018,-230
711,241,462,906,-221
712,266,492,965,-226
713,272,478,956,-206
714,269,464,954,-195
715,341,541,1128,-200
716,278,484,971,-206
717,221,449,855,-228
718,259,454,920,-195
719,224,434,855,-210
720,286,498,1007,-212
721,225,447,883,-222
