call_number,timestamp_ns,timestamp_cycles,delta_ns,delta_cycles,violation
1,46225395880791,115412879012916,310,160,0
2,46225395881505,115412879014704,714,1788,0
3,46225395881929,115412879015752,424,1048,0
4,46225395882156,115412879016319,227,567,0
5,46225395882380,115412879016875,224,556,0
6,46225395882568,115412879017355,188,480,0
7,46225395882810,115412879017956,242,601,0
8,46225395883063,115412879018778,253,822,0
9,46225395883432,115412879019500,369,722,0
10,46225395883594,115412879019906,162,406,0
11,46225395883783,115412879020377,189,471,0
12,46225395883948,115412879020791,165,414,0
13,46225395884114,115412879021204,166,413,0
14,46225395884269,115412879021592,155,388,0
15,46225395884426,115412879021984,157,392,0
16,46225395884584,115412879022378,158,394,0
17,46225395884740,115412879022770,156,392,0
18,46225395884899,115412879023164,159,394,0
19,46225395885054,115412879023554,155,390,0
20,46225395885213,115412879023948,159,394,0
21,46225395885370,115412879024338,157,390,0
22,46225395885523,115412879024722,153,384,0
23,46225395885679,115412879025114,156,392,0
24,46225395885833,115412879025496,154,382,0
25,46225395885987,115412879025882,154,386,0
26,46225395886143,115412879026272,156,390,0
27,46225395886297,115412879026654,154,382,0
28,46225395886450,115412879027035,153,381,0
29,46225395886606,115412879027425,156,390,0
30,46225395886759,115412879027809,153,384,0
31,46225395886912,115412879028191,153,382,0
32,46225395887069,115412879028581,157,390,0
33,46225395887223,115412879028967,154,386,0
34,46225395887376,115412879029351,153,384,0
35,46225395887529,115412879029731,153,380,0
36,46225395887686,115412879030125,157,394,0
37,46225395887840,115412879030507,154,382,0
38,46225395887993,115412879030889,153,382,0
39,46225395888151,115412879031281,158,392,0
40,46225395888304,115412879031665,153,384,0
41,46225395888457,115412879032049,153,384,0
42,46225395888613,115412879032439,156,390,0
43,46225395888767,115412879032820,154,381,0
44,46225395888920,115412879033202,153,382,0
45,46225395889076,115412879033594,156,392,0
46,46225395889229,115412879033976,153,382,0
47,46225395889384,115412879034362,155,386,0
48,46225395889550,115412879034775,166,413,0
49,46225395889703,115412879035158,153,383,0
50,46225395889857,115412879035542,154,384,0
51,46225395890010,115412879035924,153,382,0
52,46225395890168,115412879036320,158,396,0
53,46225395890322,115412879036702,154,382,0
54,46225395890474,115412879037082,152,380,0
55,46225395890632,115412879037476,158,394,0
56,46225395890785,115412879037858,153,382,0
57,46225395890939,115412879038244,154,386,0
58,46225395891096,115412879038632,157,388,0
59,46225395891249,115412879039016,153,384,0
60,46225395891403,115412879039398,154,382,0
61,46225395891559,115412879039788,156,390,0
62,46225395891712,115412879040174,153,386,0
63,46225395891866,115412879040555,154,381,0
64,46225395892024,115412879040948,158,393,0
65,46225395892177,115412879041333,153,385,0
66,46225395892330,115412879041715,153,382,0
67,46225395892484,115412879042101,154,386,0
68,46225395892643,115412879042497,159,396,0
69,46225395892798,115412879042883,155,386,0
70,46225395892951,115412879043265,153,382,0
71,46225395893109,115412879043659,158,394,0
72,46225395893262,115412879044041,153,382,0
73,46225395893416,115412879044425,154,384,0
74,46225395893573,115412879044817,157,392,0
75,46225395893726,115412879045199,153,382,0
76,46225395893880,115412879045585,154,386,0
77,46225395894037,115412879045975,157,390,0
78,46225395894191,115412879046359,154,384,0
79,46225395894344,115412879046741,153,382,0
80,46225395894501,115412879047133,157,392,0
81,46225395894656,115412879047519,155,386,0
82,46225395894809,115412879047903,153,384,0
83,46225395894963,115412879048286,154,383,0
84,46225395895120,115412879048676,157,390,0
85,46225395895273,115412879049060,153,384,0
86,46225395895426,115412879049444,153,384,0
87,46225395895585,115412879049840,159,396,0
88,46225395895738,115412879050222,153,382,0
89,46225395895891,115412879050604,153,382,0
90,46225395896048,115412879050996,157,392,0
91,46225395896201,115412879051380,153,384,0
92,46225395896356,115412879051764,155,384,0
93,46225395900331,115412879061695,3975,9931,0
94,46225395900606,115412879062371,275,676,0
95,46225395900794,115412879062842,188,471,0
96,46225395900959,115412879063253,165,411,0
97,46225395901123,115412879063665,164,412,0
98,46225395901286,115412879064071,163,406,0
99,46225395901449,115412879064475,163,404,0
100,46225395901612,115412879064884,163,409,0
101,46225395901831,115412879065432,219,548,0
102,46225395902022,115412879065908,191,476,0
103,46225395902191,115412879066330,169,422,0
104,46225395902359,115412879066750,168,420,0
105,46225395902520,115412879067151,161,401,0
106,46225395902677,115412879067543,157,392,0
107,46225395902834,115412879067937,157,394,0
108,46225395902992,115412879068329,158,392,0
109,46225395903149,115412879068721,157,392,0
110,46225395903307,115412879069115,158,394,0
111,46225395903465,115412879069509,158,394,0
112,46225395903622,115412879069901,157,392,0
113,46225395903779,115412879070295,157,394,0
114,46225395903937,115412879070687,158,392,0
115,46225395904094,115412879071081,157,394,0
116,46225395904251,115412879071473,157,392,0
117,46225395904408,115412879071865,157,392,0
118,46225395904565,115412879072257,157,392,0
119,46225395904722,115412879072649,157,392,0
120,46225395904880,115412879073043,158,394,0
121,46225395905038,115412879073433,158,390,0
122,46225395905195,115412879073827,157,394,0
123,46225395905352,115412879074221,157,394,0
124,46225395905509,115412879074613,157,392,0
125,46225395905666,115412879075008,157,395,0
126,46225395905823,115412879075398,157,390,0
127,46225395905981,115412879075790,158,392,0
128,46225395906137,115412879076180,156,390,0
129,46225395906294,115412879076572,157,392,0
130,46225395906450,115412879076962,156,390,0
131,46225395906606,115412879077352,156,390,0
132,46225395906762,115412879077740,156,388,0
133,46225395906917,115412879078128,155,388,0
134,46225395907073,115412879078518,156,390,0
135,46225395907229,115412879078905,156,387,0
136,46225395907385,115412879079295,156,390,0
137,46225395907541,115412879079685,156,390,0
138,46225395907697,115412879080075,156,390,0
139,46225395907853,115412879080465,156,390,0
140,46225395908009,115412879080853,156,388,0
141,46225395908165,115412879081243,156,390,0
142,46225395908321,115412879081631,156,388,0
143,46225395908475,115412879082017,154,386,0
144,46225395908631,115412879082403,156,386,0
145,46225395908785,115412879082791,154,388,0
146,46225395908940,115412879083177,155,386,0
147,46225395909095,115412879083565,155,388,0
148,46225395909250,115412879083949,155,384,0
149,46225395909404,115412879084337,154,388,0
150,46225395909559,115412879084723,155,386,0
151,46225395909713,115412879085109,154,386,0
152,46225395909869,115412879085495,156,386,0
153,46225395910024,115412879085881,155,386,0
154,46225395910178,115412879086267,154,386,0
155,46225395910333,115412879086651,155,384,0
156,46225395910487,115412879087041,154,390,0
157,46225395910642,115412879087427,155,386,0
158,46225395910797,115412879087810,155,383,0
159,46225395910951,115412879088198,154,388,0
160,46225395911106,115412879088584,155,386,0
161,46225395911261,115412879088968,155,384,0
162,46225395911416,115412879089356,155,388,0
163,46225395911571,115412879089744,155,388,0
164,46225395911725,115412879090130,154,386,0
165,46225395911880,115412879090516,155,386,0
166,46225395912034,115412879090900,154,384,0
167,46225395912189,115412879091286,155,386,0
168,46225395912342,115412879091672,153,386,0
169,46225395912498,115412879092058,156,386,0
170,46225395912653,115412879092446,155,388,0
171,46225395912808,115412879092832,155,386,0
172,46225395912963,115412879093218,155,386,0
173,46225395913117,115412879093606,154,388,0
174,46225395913272,115412879093990,155,384,0
175,46225395913427,115412879094378,155,388,0
176,46225395913581,115412879094763,154,385,0
177,46225395913736,115412879095149,155,386,0
178,46225395913890,115412879095535,154,386,0
179,46225395914045,115412879095919,155,384,0
180,46225395914200,115412879096307,155,388,0
181,46225395914354,115412879096693,154,386,0
182,46225395914509,115412879097079,155,386,0
183,46225395914665,115412879097467,156,388,0
184,46225395917253,115412879103935,2588,6468,0
185,46225395917496,115412879104534,243,599,0
186,46225395917685,115412879105003,189,469,0
187,46225395917845,115412879105401,160,398,0
188,46225395918004,115412879105805,159,404,0
189,46225395918165,115412879106203,161,398,0
190,46225395918324,115412879106602,159,399,0
191,46225395918484,115412879107000,160,398,0
192,46225395918645,115412879107402,161,402,0
193,46225395918806,115412879107804,161,402,0
194,46225395918969,115412879108214,163,410,0
195,46225395919125,115412879108602,156,388,0
196,46225395919345,115412879109157,220,555,0
197,46225395919654,115412879109923,309,766,0
198,46225395919866,115412879110455,212,532,0
199,46225395920083,115412879111003,217,548,0
200,46225395920326,115412879111603,243,600,0
201,46225395920576,115412879112232,250,629,0
202,46225395920847,115412879112905,271,673,0
203,46225395921089,115412879113510,242,605,0
204,46225395921334,115412879114119,245,609,0
205,46225395921557,115412879114672,223,553,0
206,46225395921778,115412879115236,221,564,0
207,46225395921987,115412879115742,209,506,0
208,46225395922187,115412879116246,200,504,0
209,46225395922398,115412879116774,211,528,0
210,46225395922634,115412879117367,236,593,0
211,46225395922867,115412879117944,233,577,0
