measurement_id,time_diff_ns,cycles_diff,zero_diff
0,54,117,0
1,38,97,0
2,39,101,0
3,40,99,0
4,38,98,0
5,39,99,0
6,40,97,0
7,39,98,0
8,40,98,0
9,39,98,0
10,39,98,0
11,40,100,0
12,39,99,0
13,40,97,0
14,39,99,0
15,40,97,0
16,39,97,0
17,39,99,0
18,40,97,0
19,40,99,0
20,39,99,0
21,40,101,0
22,38,99,0
23,40,100,0
24,40,97,0
25,39,101,0
26,39,97,0
27,39,97,0
28,38,98,0
29,38,98,0
30,39,100,0
31,40,98,0
32,39,100,0
33,40,97,0
34,38,99,0
35,41,101,0
36,39,100,0
37,39,99,0
38,40,101,0
39,40,97,0
40,39,99,0
41,39,98,0
42,40,100,0
43,40,99,0
44,40,99,0
45,39,99,0
46,40,101,0
47,40,100,0
48,41,97,0
49,40,99,0
50,39,98,0
51,39,98,0
52,39,97,0
53,39,99,0
54,40,97,0
55,39,99,0
56,41,97,0
57,39,99,0
58,40,99,0
59,39,101,0
60,38,100,0
61,40,99,0
62,40,99,0
63,39,99,0
64,40,100,0
65,39,95,0
66,38,101,0
67,39,100,0
68,39,98,0
69,40,98,0
70,39,98,0
71,39,96,0
72,39,98,0
73,40,100,0
74,41,99,0
75,39,99,0
76,39,99,0
77,39,100,0
78,39,97,0
79,40,99,0
80,39,97,0
81,40,101,0
82,39,98,0
83,39,97,0
84,40,97,0
85,40,99,0
86,39,99,0
87,41,97,0
88,40,97,0
89,38,101,0
90,39,98,0
91,40,98,0
92,39,100,0
93,39,98,0
94,39,96,0
95,40,96,0
96,40,98,0
97,39,100,0
98,40,99,0
99,40,101,0
100,41,99,0
101,38,97,0
102,40,99,0
103,38,99,0
104,60,98,0
105,39,95,0
106,38,98,0
107,39,98,0
108,39,96,0
109,40,100,0
110,39,97,0
111,40,99,0
112,40,96,0
113,39,96,0
114,40,97,0
115,40,99,0
116,39,97,0
117,38,99,0
118,41,97,0
119,40,95,0
120,40,98,0
121,39,98,0
122,39,96,0
123,40,100,0
124,40,100,0
125,39,99,0
126,40,100,0
127,39,99,0
128,39,97,0
129,39,99,0
130,40,101,0
131,40,102,0
132,39,98,0
133,40,100,0
134,39,97,0
135,39,99,0
136,39,95,0
137,40,97,0
138,40,99,0
139,39,97,0
140,38,99,0
141,40,98,0
142,40,100,0
143,39,97,0
144,40,97,0
145,40,97,0
146,39,99,0
147,39,99,0
148,39,97,0
149,40,99,0
150,40,97,0
151,39,99,0
152,40,99,0
153,40,99,0
154,39,101,0
155,39,98,0
156,40,98,0
157,39,98,0
158,40,98,0
159,39,98,0
160,39,98,0
161,40,98,0
162,39,96,0
